SKU,NAME ,Thikness_mm,Length_m,Tipo,Familia ,Sub_Familia,unit_base,Largo_min_max,cost_sin_iva,sale_sin_iva,sale_iva_inc,web_sin_iva,web_iva_inc
PLEGU148,Plegado Galv. Tipo U 148 mm / 2 m de largo,Estandar ,2.00,Perfileria / Terminaciones ,ISOPANEL / ISODEC,Estandar ,unit,2.00,23.72,28.46,34.73,33.21,40.51
PLECHU98,Plegado Galv. Tipo U 98 mm / 2 m de largo,Estandar ,2.00,Perfileria / Terminaciones ,ISOPANEL / ISODEC ,Estandar ,unit,2.00,18.17,21.80,26.60,25.44,31.03
,"PERFIL ALU 2195 U 100 / 6,8m",Estandar ,6.80,Perfileria / Terminaciones ,ISOPANEL / ISODEC / ISOROOF,Estandar ,unit,6.80,64.96,77.95,95.10,90.94,110.95
,,,,,,,,,,,,,
,"ISODEC (EPS) - 2,3m min.",,,,,,,,,22-09 sube con 5% de suba,,,
ISD100EPS,ISODEC EPS 100 mm,100.00,on demand ,PANEL EPS ,ISODEC,EPS,m2,2.3 / 14,32.83,37.76,46.07,37.76,46.07
ISD150EPS,ISODEC EPS 150 mm,150.00,on demand ,PANEL EPS ,ISODEC,EPS,m2,2.3 / 14,36.94,42.48,51.82,42.48,51.82
ISD200EPS,ISODEC EPS 200 mm,200.00,on demand ,PANEL EPS ,ISODEC,EPS,m2,2.3 / 14,41.42,47.64,58.12,47.64,58.12
ISD250EPS,ISODEC EPS 250mm,250.00,on demand ,PANEL EPS ,ISODEC,EPS,m2,2.3 / 14,45.53,52.35,63.87,52.35,63.87
,,,,,,,,,,,,,
,"ISODEC (PIR) - 3,5m min.",,,,,,,,,,,,
ISD50PIR,ISODEC 50mm PIR (EVITAR ESTE ESPESOR),,on demand ,PANEL PIR ,ISODEC,PIR,m2,3.5 / 14,36.37,41.82,51.02,41.82,51.02
ISD80PIR,ISODEC 80mm PIR,80.00,on demand ,PANEL PIR ,ISODEC,PIR,m2,3.5 / 14,37.17,42.75,52.15,42.75,52.15
ISD80PIR,ISODEC 120mm PIR,120.00,on demand ,PANEL PIR ,ISODEC,PIR,m2,3.5 / 14,44.68,51.38,62.69,51.38,62.69
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,GOTERO FRONTAL ISODEC (EPS & PIR),,,,,,,,,,,,
GF80DC,"Perf. Ch. Gotero Frontal 50mm - ISODEC PIR  - (3,03m)",50.00,3.03,Perfileria / Gotero Frontal,ISODEC,PIR ,unit,3.03,16.64,19.97,24.36,23.30,28.42
GF120DC,"Perf. Ch. Gotero Frontal 80mm - ISODEC PIR  - (3,03m)",80.00,3.03,Perfileria / Gotero Frontal,ISODEC,PIR,unit,3.03,17.39,20.87,25.46,24.34,29.70
6838,"Perf. Ch. Gotero Frontal 100mm - (3,03m)",100.00,3.03,Perfileria / Gotero Frontal,ISODEC,PIR ,unit,3.03,13.06,15.67,19.12,18.28,22.31
GF120DC,"Perf. Ch. Gotero Frontal 120mm - ISODEC PIR  - (3,03m)",120.00,3.03,Perfileria / Gotero Frontal,ISODEC,PIR,unit,3.03,20.58,24.69,30.12,28.81,35.14
6839,"Perf. Ch. Gotero Frontal 150mm - (3,03m)",150.00,3.03,Perfileria / Gotero Frontal,ISODEC,EPS ,unit,3.03,18.87,22.64,27.63,26.42,32.23
6840,"Perf. Ch. Gotero Frontal 200mm - (3,03m)",200.00,3.03,Perfileria / Gotero Frontal,ISODEC,EPS ,unit,3.03,19.64,23.57,28.75,27.50,33.55
6841,"Perf. Ch. Gotero Frontal 250mm - (3,03m)",250.00,3.03,Perfileria / Gotero Frontal,ISODEC,EPS ,unit,3.03,19.83,23.80,29.03,27.76,33.87
,,,,,,,,,,,,,
,GOTERO LATERAL ISODEC (EPS & PIR),,,,,,,,,,,,
GL80DC,Perf. Ch. Gotero Lateral 50mm - ISODEC PIR  - (3m),50.00,3.00,Perfileria / Terminaciones ,ISODEC ,PIR ,unit,3.00,22.09,26.51,32.34,30.92,37.73
GL80DC,Perf. Ch. Gotero Lateral 80mm - ISODEC PIR  - (3m),80.00,3.00,Perfileria / Terminaciones ,ISODEC ,PIR ,unit,3.00,22.09,26.51,32.34,30.92,37.73
6842,Perf. Ch. Gotero Lateral 100mm - (3m),100.00,3.00,Perfileria / Terminaciones ,ISODEC ,EPS ,unit,3.00,17.31,20.77,25.34,24.23,29.57
GL120DC,Perf. Ch. Gotero Lateral 120mm - ISODEC PIR  - (3m),120.00,3.00,Perfileria / Terminaciones ,ISODEC ,PIR ,unit,3.00,25.90,31.08,37.92,36.26,44.24
6843,Perf. Ch. Gotero Lateral 150mm - (3m),150.000,3.000,Perfileria / Terminaciones ,ISODEC ,EPS ,unit,3.00,24.220,29.06,35.46,33.91,41.37
6844,Perf. Ch. Gotero Lateral 200mm - (3m),200.00,3.00,Perfileria / Terminaciones ,ISODEC ,EPS ,unit,3.00,26.46,31.75,38.74,37.04,45.19
6845,Perf. Ch. Gotero Lateral 250mm - (3m),250.00,3.00,Perfileria / Terminaciones ,ISODEC ,EPS ,unit,3.00,26.62,31.94,38.97,37.27,45.47
,Perfil Ch. Gotero Lateral Cámara 100 mm - (3m),100.00,3.00,Perfileria / Terminaciones ,ISODEC ,EPS ,unit,3.00,19.47,23.36,28.50,27.26,33.25
,Perfil Ch. Gotero Lateral Cámara 150 mm - (3m),150.00,3.00,Perfileria / Terminaciones ,ISODEC ,EPS ,unit,3.00,20.35,24.42,29.79,28.49,34.76
,Perfil Ch. Gotero Lateral Cámara 200 mm - (3m),200.00,3.00,Perfileria / Terminaciones ,ISODEC ,EPS ,unit,3.00,30.45,36.54,44.58,42.63,52.01
,Perfil Ch. Gotero Lateral Cámara 250 mm - (3m),250.00,3.00,Perfileria / Terminaciones ,ISODEC ,EPS ,unit,3.00,26.46,31.75,38.74,37.04,45.19
,,,,,,,,,,,,,
,OTROS ACCESORIOS Y PERFILES ISODEC (EPS & PIR),,,,,,,,,,,,
6847,Perfil Cumbrera,Estandar ,3.03,Perfileria / Terminaciones ,ISODEC ,PIR / EPS ,unit,3.03,19.64,23.57,28.75,27.50,33.55
6828,Babeta ISODEC de Adosar ,Estandar ,3.00,Perfileria / Terminaciones ,ISODEC ,PIR / EPS ,unit,3.00,10.16,12.19,14.87,14.22,17.35
6865,Babeta ISODEC de empotrar,Estandar ,3.00,Perfileria / Terminaciones ,ISODEC ,PIR / EPS ,unit,3.00,10.16,12.19,14.87,14.22,17.35
6825,Vaina ISODEC Sist 2000,Estandar ,3.00,Perfileria / Terminaciones ,ISODEC ,PIR / EPS ,unit,3.00,7.56,9.07,11.07,10.58,12.91
CAN.ISDC120,Canalón Isodec 50mm ISODEC PIR,50.00,3.03,Perfileria / Terminaciones ,ISODEC ,PIR,Unit,3.03,77.72,93.26,113.78,108.80,132.74
CAN.ISDC120,Canalón Isodec 80mm ISODEC PIR,80.00,3.03,Perfileria / Terminaciones ,ISODEC ,PIR,Unit,3.03,77.72,93.26,113.78,108.80,132.74
6801,Canalón Estandar 100 mm,100.00,3.03,Perfileria / Terminaciones ,ISODEC ,EPS,Unit,3.03,57.95,69.54,84.84,81.13,98.98
CAN.ISDC120,Canalón Isodec 120mm ISODEC PIR,120.00,3.03,Perfileria / Terminaciones ,ISODEC ,PIR,Unit,3.03,77.72,93.26,113.78,108.80,132.74
6802,Canalón Estandar 150 mm,150.00,3.03,Perfileria / Terminaciones ,ISODEC ,EPS,Unit,3.03,66.71,80.05,97.66,93.39,113.94
6803,Canalón Estandar 200 mm,200.00,3.03,Perfileria / Terminaciones ,ISODEC ,EPS,Unit,3.03,66.44,79.73,97.27,93.02,113.48
6804,Canalón Estandar 250 mm,250.00,3.03,Perfileria / Terminaciones ,ISODEC ,EPS,Unit,3.03,86.92,104.30,127.25,121.69,148.46
6805,Soporte de Canalón de 3 m,Estandar ,3.00,Perfileria / Terminaciones ,ISODEC ,PIR / EPS ,Unit,3.00,13.28,15.94,19.44,18.59,22.68
,Embudo ,,,,,,,,,,,24.59,30.00
,,,,,,,,,,,,,
,ANCLAJES varios,,,,,,,,,,,,
,Varilla Roscada BSW 3/8 de 1 m,Estandar ,1.00,Anclajes / Fijaciones ,ESTANDAR ,ESTANDAR ,Unit,1.00,2.60,3.12,3.81,3.64,4.44
,Tuerca BSW 3/8 Galv.,Estandar ,N/A,Anclajes / Fijaciones ,ESTANDAR ,ESTANDAR ,Unit,N/A,0.05,0.12,0.15,0.07,0.09
,Arandela Carrocero 3/8 Galv.,Estandar ,N/A,Anclajes / Fijaciones ,ISODEC,PIR / EPS ,Unit,N/A,0.46,1.68,2.05,0.64,0.79
,Arandela Bca. de Polipropileno (Totuga Blanca),Estandar ,N/A,Anclajes / Fijaciones ,ISODEC,PIR / EPS ,Unit,N/A,1.06,1.27,1.55,1.48,1.81
,Arandela Bca. de Polipropileno GRIS (Totuga GRIS),Estandar ,N/A,Anclajes / Fijaciones ,ISODEC,PIR / EPS ,Unit,N/A,1.14,1.37,1.67,1.60,1.95
,Taco Expansivo Sorex 3/8,Estandar ,N/A,Anclajes / Fijaciones ,ESTANDAR ,ESTANDAR ,Unit,N/A,0.80,0.96,1.17,1.12,1.37
,Arandela Plana Hierro Galv. 3/8,Estandar ,N/A,Anclajes / Fijaciones ,ESTANDAR ,ESTANDAR ,Unit,N/A,0.240,0.29,0.35,0.34,0.41
,Rollo Membrana Autoadhesiva (30 cm x 10 m) DENVERFITA,Estandar ,N/A,Accesorio,ESTANDAR ,ESTANDAR ,Unit,N/A,13.850,16.62,20.28,19.39,23.66
,,,,,,,,,,,,,
,Faltan Tornillos autoperfoantes para cotizar cuando retiren de BROMYROS ,,,,,,,,,,,,
,Soportes para canalones ISOROOF cual utilizan?,,,,,,,,,,,,
,,,,,,,,,,,,,
," EPS, Cat. II",,,,,,,,C. Unit UY$,,,,
,1mx1mx1cm (Paquetes de 60 uds),,,,,,,,46.00,30%,13.8000,,
,1mx1mx2cm  (Paquetes de 30 uds),,,,,,,,83.00,30%,24.9000,,
,1mx1mx3cm (Paquetes de 20 uds),,,,,,,,123.00,30%,36.9000,,
,1mx1mx5cm (Paquetes de 12 uds),,,,,,,,207.00,30%,62.1000,,
,3x1x5cm (Paquetes de 12 uds),,,,,,,,855.00,30%,256.5000,,
,autotrabante  (Paquetes de 12 uds),,,,,,,,553.00,30%,165.9000,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Pistola de Silicona ,,,,,,,,25.29,31.61,38.57,,
,Tornillos ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,PIR,v,,,,,,